start_time;duracion;end_time;comparisons;swaps;game_id;teams;yards;qtr
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011092507;SF@CIN;-18;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011120411;ARI@DAL;-15;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091814;ATL@PHI;-10;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011101609;TB@NO;-10;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091110;SEA@SF;-10;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121900;SF@PIT;-10;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011101602;JAC@PIT;-9;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112705;CAR@IND;-7;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121700;TB@DAL;-6;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100204;PHI@SF;-6;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112011;NYG@PHI;-5;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011103003;CAR@MIN;-5;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100206;STL@WAS;-5;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011120401;KC@CHI;-5;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091106;TB@DET;-4;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011102304;CAR@WAS;-4;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011092502;BUF@NE;-4;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011103000;NYG@MIA;-4;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011101607;CLE@OAK;-4;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091813;MIA@HOU;-4;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011110603;SEA@DAL;-4;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011120500;SD@JAC;-3;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121802;TEN@IND;-3;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112701;CLE@CIN;-3;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111307;CHI@DET;-3;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2012010112;SF@STL;-3;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100906;CAR@NO;-3;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011092508;NYJ@OAK;-3;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091810;SF@DAL;-3;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011103011;DAL@PHI;-3;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011122404;KC@OAK;-3;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2012010107;PHI@WAS;-3;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011102400;BAL@JAC;-2;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111400;MIN@GB;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011122408;CIN@ARI;-2;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111307;CHI@DET;-2;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111000;SD@OAK;-2;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100910;DEN@SD;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011092506;MIN@DET;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112703;ATL@MIN;-2;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011092500;CAR@JAC;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111302;TB@HOU;-2;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111301;TEN@CAR;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112701;CLE@CIN;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111301;CAR@TEN;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011103003;CAR@MIN;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112400;GB@DET;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011101607;CLE@OAK;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011092508;OAK@NYJ;-2;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112400;DET@GB;-2;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100300;TB@IND;-2;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091809;SEA@PIT;-2;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011103001;JAC@HOU;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011110606;ATL@IND;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100901;OAK@HOU;-2;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091106;DET@TB;-2;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011102302;TEN@HOU;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121807;KC@GB;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121801;MIA@BUF;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112002;MIA@BUF;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091811;NE@SD;-2;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121700;DAL@TB;-2;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011110604;WAS@SF;-2;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011122403;JAC@TEN;-1;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112704;STL@ARI;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011092500;JAC@CAR;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011110608;TEN@CIN;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112702;HOU@JAC;-1;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100204;SF@PHI;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091101;CIN@CLE;-1;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011101607;OAK@CLE;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112710;SD@DEN;-1;5
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121802;TEN@IND;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100903;CIN@JAC;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111304;JAC@IND;-1;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2012010105;JAC@IND;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112009;STL@SEA;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112000;OAK@MIN;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011101610;NE@DAL;-1;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011101602;JAC@PIT;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011110609;NYG@NE;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121805;MIN@NO;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112001;ATL@TEN;-1;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011122406;MIN@WAS;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011121110;SF@ARI;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011091103;TEN@JAC;-1;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011112709;PHI@NE;-1;2
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011122408;CIN@ARI;-1;4
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011100901;OAK@HOU;-1;3
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011110609;NE@NYG;0;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011110609;NYG@NE;0;1
1739498683.9380;0.0115s;1739498683.9495;11078;11720;2011111308;NO@ATL;0;4
